strain,genotype,survivors,cells_plated
6169,tlc1Δ,1,22890.53254
6169,tlc1Δ,20,967.4556213
6169,tlc1Δ,14,94624.26036
6169,tlc1Δ,14,196615.3846
6169,tlc1Δ,6,1686.390533
6169,tlc1Δ,2,7713.017751
6169,tlc1Δ,0,55415.68047
6169,tlc1Δ,0,10491.12426
6169,tlc1Δ,2,16550.29586
6169,tlc1Δ,1,52213.01775
6169,tlc1Δ,3,46591.71598
6169,tlc1Δ,0,26355.02959
6169,tlc1Δ,1,2497.04142
6169,tlc1Δ,0,40002.95858
6169,tlc1Δ,1,10615.38462
6169,tlc1Δ,5,25060.65089
6169,tlc1Δ,0,124.260355
6169,tlc1Δ,41,2791100.592
6169,tlc1Δ,2,169846.1538
6169,tlc1Δ,0,4823.964497
6169,tlc1Δ,0,3778.106509
6169,tlc1Δ,5,7713.017751
6169,tlc1Δ,2,174443.787
6169,tlc1Δ,1,32786.98225
6169,tlc1Δ,0,6588.757396
6169,tlc1Δ,23,73573.9645
6169,tlc1Δ,0,4059.171598
6169,tlc1Δ,0,67828.40237
6169,tlc1Δ,9,56866.86391
6169,tlc1Δ,21,281562.1
6169,tlc1Δ,0,7431.953
6169,tlc1Δ,0,13053.25
6169,tlc1Δ,3,127298.1
6169,tlc1Δ,0,33071.01
6169,tlc1Δ,9,341396.4
6169,tlc1Δ,5,26825.44
6169,msh2Δtlc1Δ,148,2333769.231
6169,msh2Δtlc1Δ,0,8804.733728
6169,msh2Δtlc1Δ,11,10982.24852
6169,msh2Δtlc1Δ,0,118911.2426
6169,msh2Δtlc1Δ,0,2591.715976
6169,msh2Δtlc1Δ,2,4621.301775
6169,msh2Δtlc1Δ,1,1810.650888
6169,msh2Δtlc1Δ,59,415038.4615
6169,msh2Δtlc1Δ,21,17050.29586
6169,msh2Δtlc1Δ,9,202615.3846
6169,msh2Δtlc1Δ,109,216355.0296
6169,msh2Δtlc1Δ,142,136402.3669
6169,msh2Δtlc1Δ,102,142153.8462
6169,msh2Δtlc1Δ,2,10304.73373
6169,msh2Δtlc1Δ,17,7775.147929
6169,msh2Δtlc1Δ,1,8525.147929
6169,msh2Δtlc1Δ,4,11334.31953
6169,msh2Δtlc1Δ,5,29355.03
6169,msh2Δtlc1Δ,28,113798.8
6169,msh2Δtlc1Δ,48,471668.6
6169,msh2Δtlc1Δ,4,23390.53
6169,msh2Δtlc1Δ,11,14677.51
6212,tlc1Δ,30,978538.5
6212,tlc1Δ,98,6808000
6212,tlc1Δ,0,18485.21
6212,tlc1Δ,70,704846.2
6212,tlc1Δ,2,44218.93
6212,tlc1Δ,13,80476.33
6212,tlc1Δ,0,1248.5
6212,tlc1Δ,0,3372.8
6212,tlc1Δ,6,8275.1
6212,tlc1Δ,3,186173
6212,tlc1Δ,17,1526615
6212,tlc1Δ,5,250115.4
6212,tlc1Δ,18,595230.8
6212,tlc1Δ,15,617153.8
6212,tlc1Δ,0,67828.4
6212,tlc1Δ,0,2745.562
6212,tlc1Δ,1,32289.94
6212,tlc1Δ,0,4994.083
6212,mph1Δtlc1Δ,1,6390.533
6212,mph1Δtlc1Δ,11,407923.1
6212,mph1Δtlc1Δ,3,1597.633
6212,mph1Δtlc1Δ,7,339692.3
6212,mph1Δtlc1Δ,0,4890.533
6212,mph1Δtlc1Δ,0,46130.18
6212,mph1Δtlc1Δ,0,40272.19
6212,mph1Δtlc1Δ,15,286769.2
6212,mph1Δtlc1Δ,0,1967.5
6212,mph1Δtlc1Δ,0,3778.1
6212,mph1Δtlc1Δ,0,29884.6
6212,mph1Δtlc1Δ,3,50121.3
6212,mph1Δtlc1Δ,3,88908.3
6212,mph1Δtlc1Δ,0,1686.4
6212,mph1Δtlc1Δ,0,4621.3
6212,mph1Δtlc1Δ,21,1529.586
6212,mph1Δtlc1Δ,0,13255.92
6212,mph1Δtlc1Δ,0,144402.4
6212,mph1Δtlc1Δ,60,95928.99
6205,tlc1Δ,0,6026.6
6205,tlc1Δ,0,6026.6
6205,tlc1Δ,0,6869.8
6205,tlc1Δ,4,28917.2
6205,tlc1Δ,1,1967.5
6205,tlc1Δ,0,10804.7
6205,tlc1Δ,4,50840.2
6205,tlc1Δ,3,250579.9
6205,tlc1Δ,5,82881.7
6205,tlc1Δ,10,142370.2
6205,tlc1Δ,4,492923.1
6205,tlc1Δ,40,60553.3
6205,tlc1Δ,0,86378.7
6205,tlc1Δ,0,135519.2
6205,tlc1Δ,12,299269.2
6205,tlc1Δ,7,622579.9
6205,tlc1Δ,28,416278.8
6205,tlc1Δ,2,405230.8
6205,tlc1Δ,23,525634.6
6205,tlc1Δ,29,390729.9
6205,tlc1Δ,21,3688385
6205,tlc1Δ,16,595230.8
6205,tlc1Δ,4,618807.7
6205,tlc1Δ,3,26355
6205,tlc1Δ,2,61207.1
6205,tlc1Δ,19,5755692
6205,tlc1Δ,28,560278.8
6205,tlc1Δ,8,198961.5
6205,tlc1Δ,5,41024.9
6205,tlc1Δ,6,112112.4
6205,tlc1Δ,5,207230.8
6205,tlc1Δ,3,106788.5
6205,tlc1Δ,2,832384.8
6205,tlc1Δ,0,50356.5
6205,tlc1Δ,5,3778.1
6205,tlc1Δ,0,562.13
6205,tlc1Δ,0,12053.3
6205,tlc1Δ,0,1686.4
6205,tlc1Δ,0,9039.9
6205,tlc1Δ,1,33289.9
6205,tlc1Δ,0,14301.8
6205,tlc1Δ,5,34976.3
6205,tlc1Δ,0,3778.1
6205,tlc1Δ,0,1124.3
6205,tlc1Δ,0,422343.2
6205,tlc1Δ,1,22890.5
6205,tlc1Δ,14,94624.3
6205,tlc1Δ,14,196615.4
6205,tlc1Δ,6,1686.4
6205,mlh1Δtlc1Δ,28,2591.7
6205,mlh1Δtlc1Δ,8,6994.1
6205,mlh1Δtlc1Δ,52,473826.9
6205,mlh1Δtlc1Δ,11,149971.2
6205,mlh1Δtlc1Δ,3,3887.6
6205,mlh1Δtlc1Δ,47,86278.85
6205,mlh1Δtlc1Δ,2,115047.3
6205,mlh1Δtlc1Δ,3,31260.36
6205,mlh1Δtlc1Δ,7,22047.3
6205,mlh1Δtlc1Δ,14,30698.2
6205,mlh1Δtlc1Δ,1,74698.2
6205,mlh1Δtlc1Δ,11,81071
6205,mlh1Δtlc1Δ,34,564875.7
6205,mlh1Δtlc1Δ,1,18612.4
6205,mlh1Δtlc1Δ,25,54213
6205,mlh1Δtlc1Δ,54,145216
6205,mlh1Δtlc1Δ,0,140379.8
6205,mlh1Δtlc1Δ,3,119668.6
6205,mlh1Δtlc1Δ,9,1084846
6205,mlh1Δtlc1Δ,7,148899.4
6205,mlh1Δtlc1Δ,2,262076.9
6205,mlh1Δtlc1Δ,3,52792.9
6205,mlh1Δtlc1Δ,8,223994.5
6205,mlh1Δtlc1Δ,0,15801.8
6205,mlh1Δtlc1Δ,0,2029.66
6205,mlh1Δtlc1Δ,0,3661.2
6205,mlh1Δtlc1Δ,0,10367
6205,mlh1Δtlc1Δ,0,120544.4
6205,mlh1Δtlc1Δ,0,365751.5
6205,mlh1Δtlc1Δ,0,40535.5
6205,mlh1Δtlc1Δ,0,35757.4
6205,mlh1Δtlc1Δ,0,9899.4
